distance,street_name,street_type,suburb,postcode,ward_name,long,lat
34.81915008961624,PRINCESS,Street,BULIMBA,4171,MORNINGSIDE,153.0589146002533,-27.44727561567708
34.81915008961624,HENDERSON,Street,BULIMBA,4171,MORNINGSIDE,153.0589146002533,-27.44727561567708
34.81915008961624,HENDERSON,Street,BULIMBA,4171,MORNINGSIDE,153.0589146002533,-27.44727561567708
54.27727931884048,PRINCESS,Street,BULIMBA,4171,MORNINGSIDE,153.05887262636656,-27.44750730133645
49.47294310518945,BRUNSWICK,Street,FORTITUDE VALLEY,4006,CENTRAL,153.03703965498968,-27.46046449291326
49.47294310518945,MARTIN,Street,FORTITUDE VALLEY,4006,CENTRAL,153.03703965498968,-27.46046449291326
49.47294310518945,MARTIN,Street,FORTITUDE VALLEY,4006,CENTRAL,153.03703965498968,-27.46046449291326
74.81046606142023,MARTIN,Street,FORTITUDE VALLEY,4006,CENTRAL,153.03681821495212,-27.460768434120098
29.378045758335194,GOVETT,Avenue,HAWTHORNE,4171,MORNINGSIDE,153.05730596285758,-27.45814194707045
41.02030916008427,JENOLAN,Avenue,HAWTHORNE,4171,MORNINGSIDE,153.05749235611876,-27.458171500166372
84.68291325293906,BLACKWOOD,Avenue,MORNINGSIDE,4170,MORNINGSIDE,153.08155273600096,-27.473551446219926
92.41395269050463,BLACKWOOD,Avenue,MORNINGSIDE,4170,MORNINGSIDE,153.0815447756652,-27.473641486921057
61.36640505840847,TERRACE,Street,NEWMARKET,4051,ENOGGERA,153.00652171254538,-27.434068810145078
55.80547107420932,TERRACE,Street,NEWMARKET,4051,ENOGGERA,153.0064349991902,-27.434068362773782
47.85782211839917,DRURY,Lane,ANNERLEY,4103,TENNYSON,153.03000959083752,-27.502529961353442
51.935355424784966,DRURY,Lane,ANNERLEY,4103,TENNYSON,153.03006667163996,-27.50260043020878
49.086714440641536,JUDGE,Street,NORMAN PARK,4170,MORNINGSIDE,153.07038129347305,-27.48559627993374
52.55277735712887,TERRACE,Street,PETRIE TERRACE,4000,PADDINGTON,153.01407687763663,-27.46105972454171
52.55277735712887,WELLINGTON,Lane,PETRIE TERRACE,4000,PADDINGTON,153.01407687763663,-27.46105972454171
52.55277735712887,WELLINGTON,Street,PETRIE TERRACE,4000,PADDINGTON,153.01407687763663,-27.46105972454171
52.55277735712887,WELLINGTON,Street,PETRIE TERRACE,4000,PADDINGTON,153.01407687763663,-27.46105972454171
52.55277735712887,WELLINGTON,Street,PETRIE TERRACE,4000,PADDINGTON,153.01407687763663,-27.46105972454171
55.206807281942005,TERRACE,Street,PETRIE TERRACE,4000,PADDINGTON,153.01403359041788,-27.4610520912211
55.206807281942005,WELLINGTON,Lane,PETRIE TERRACE,4000,PADDINGTON,153.01403359041788,-27.4610520912211
55.206807281942005,WELLINGTON,Street,PETRIE TERRACE,4000,PADDINGTON,153.01403359041788,-27.4610520912211
55.206807281942005,WELLINGTON,Street,PETRIE TERRACE,4000,PADDINGTON,153.01403359041788,-27.4610520912211
55.206807281942005,WELLINGTON,Street,PETRIE TERRACE,4000,PADDINGTON,153.01403359041788,-27.4610520912211
90.72859844149079,TALLOW WOOD,Place,MOUNT GRAVATT EAST,4122,HOLLAND PARK,153.0842495632187,-27.520485902191695
34.873610906535795,STANLEY,Road,CAMP HILL,4152,MORNINGSIDE,153.08263502097964,-27.487099381507544
31.3461482611501,JONES,Road,CARINA HEIGHTS,4152,COORPAROO,153.08717276384056,-27.50253889706571
44.427397635733165,JONES,Road,CARINA HEIGHTS,4152,COORPAROO,153.0870423821064,-27.50251499144823
56.64438520118473,JONES,Road,CARINA HEIGHTS,4152,COORPAROO,153.08691908760366,-27.502504018321197
69.88431338929531,JONES,Road,CARINA HEIGHTS,4152,COORPAROO,153.08678658320923,-27.50248442914561
68.54396651325534,CENTRAL,Avenue,SHERWOOD,4075,TENNYSON,152.98669222479282,-27.526398069718553
66.02757920848941,CENTRAL,Avenue,SHERWOOD,4075,TENNYSON,152.9867925784369,-27.5264128218727
